City,Homes Sold,Inventory,Median List Ppsf,Median List Price,Median Sale Price,New Listings,Period Begin,Period Duration,Period End,Property Type,Region,Sold Above List,State,State Code
Chicago,2098,10078,173.9373898,249900,$215K,2887,1/1/16,30,1/31/16,All Residential,"Chicago, IL",0.216499762,Illinois,IL
Chicago,1876,10969,202.9840389,283450,$225K,4130,2/1/16,30,2/29/16,All Residential,"Chicago, IL",0.221748401,Illinois,IL
Chicago,2393,11762,206.7615385,289900,$250K,4835,3/1/16,30,3/31/16,All Residential,"Chicago, IL",0.264632107,Illinois,IL
Chicago,2908,12285,206.491063,285000,$270K,4809,4/1/16,30,4/30/16,All Residential,"Chicago, IL",0.274759285,Illinois,IL
Chicago,3204,12723,198.4128679,284450,$285K,4778,5/1/16,30,5/31/16,All Residential,"Chicago, IL",0.265917603,Illinois,IL
Chicago,3692,12990,194.4722222,274724,$280K,4669,6/1/16,30,6/30/16,All Residential,"Chicago, IL",0.292524377,Illinois,IL
Chicago,3343,13054,188.9848812,274000,$290K,4092,7/1/16,30,7/31/16,All Residential,"Chicago, IL",0.294135248,Illinois,IL
Chicago,3628,12691,178.5714286,259900,$270K,3902,8/1/16,30,8/31/16,All Residential,"Chicago, IL",0.268743109,Illinois,IL
Chicago,3020,12853,196.4622642,277450,$257K,3821,9/1/16,30,9/30/16,All Residential,"Chicago, IL",0.243046358,Illinois,IL
Chicago,2660,12356,175,250000,$252K,3109,10/1/16,30,10/31/16,All Residential,"Chicago, IL",0.241353383,Illinois,IL
Chicago,2339,11338,158.2655502,239000,$248K,2429,11/1/16,30,11/30/16,All Residential,"Chicago, IL",0.237810094,Illinois,IL
Chicago,2321,9538,146.1056604,212000,$255K,1679,12/1/16,30,12/31/16,All Residential,"Chicago, IL",0.228349849,Illinois,IL
Dallas,736,2687,162.8371628,324900,$247K,1299,1/1/16,30,1/31/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,975,2776,171.0032718,325000,$249K,1482,2/1/16,30,2/29/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1293,3062,169.9609763,349900,$289K,1792,3/1/16,30,3/31/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1265,3196,167.9356304,340000,$299K,1714,4/1/16,30,4/30/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1413,3208,169.8842751,326500,$300K,1588,5/1/16,30,5/31/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1337,3352,164.0292781,329000,$300K,1664,6/1/16,30,6/30/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1187,3458,164.4479248,319000,$275K,1529,7/1/16,30,7/31/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1288,3367,159.7957814,299500,$290K,1542,8/1/16,30,8/31/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1202,3520,171.5366105,345900,$295K,1523,9/1/16,30,9/30/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1066,3494,163.5478891,311250,$297K,1382,10/1/16,30,10/31/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1044,3273,156.3254831,299000,$294K,1120,11/1/16,30,11/30/16,All Residential,"Dallas, TX",,Texas,TX
Dallas,1072,2742,150.1329787,259450,$270K,864,12/1/16,30,12/31/16,All Residential,"Dallas, TX",,Texas,TX
Denver,870,1770,215.2388593,350000,$317K,1059,1/1/16,30,1/31/16,All Residential,"Denver, CO",0.262068966,Colorado,CO
Denver,934,1835,214.2177087,355000,$326K,1271,2/1/16,30,2/29/16,All Residential,"Denver, CO",0.316184352,Colorado,CO
Denver,1215,1551,225.4227734,365000,$344K,1555,3/1/16,30,3/31/16,All Residential,"Denver, CO",0.394563427,Colorado,CO
Denver,1358,1633,228.3702213,370000,$360K,1734,4/1/16,30,4/30/16,All Residential,"Denver, CO",0.434782609,Colorado,CO
Denver,1455,1719,227.9653081,375000,$360K,1761,5/1/16,30,5/31/16,All Residential,"Denver, CO",0.482118294,Colorado,CO
Denver,1514,2041,230.2519264,370500,$363K,1932,6/1/16,30,6/30/16,All Residential,"Denver, CO",0.473579921,Colorado,CO
Denver,1424,2151,216.9900434,350000,$370K,1667,7/1/16,30,7/31/16,All Residential,"Denver, CO",0.417427969,Colorado,CO
Denver,1506,2218,223.0817033,350000,$350K,1723,8/1/16,30,8/31/16,All Residential,"Denver, CO",0.38247012,Colorado,CO
Denver,1364,2309,231.2072983,374950,$340K,1606,9/1/16,30,9/30/16,All Residential,"Denver, CO",0.340909091,Colorado,CO
Denver,1329,2089,227.5910364,369900,$346K,1222,10/1/16,30,10/31/16,All Residential,"Denver, CO",0.305722892,Colorado,CO
Denver,1202,1769,225.2929011,354200,$351K,962,11/1/16,30,11/30/16,All Residential,"Denver, CO",0.296173045,Colorado,CO
Denver,1258,1424,226.4957265,339900,$349K,645,12/1/16,30,12/31/16,All Residential,"Denver, CO",0.263116057,Colorado,CO
San Diego,895,2365,378.1512605,525000,$493K,1396,1/1/16,30,1/31/16,All Residential,"San Diego, CA",0.192178771,California,CA
San Diego,992,2458,381.0039188,549000,$479K,1606,2/1/16,30,2/29/16,All Residential,"San Diego, CA",0.175403226,California,CA
San Diego,1383,2517,380.6170191,550000,$500K,1809,3/1/16,30,3/31/16,All Residential,"San Diego, CA",0.234273319,California,CA
San Diego,1528,2658,380.8945702,565000,$526K,1903,4/1/16,30,4/30/16,All Residential,"San Diego, CA",0.270287958,California,CA
San Diego,1525,2717,381.7626096,579000,$525K,1856,5/1/16,30,5/31/16,All Residential,"San Diego, CA",0.244590164,California,CA
San Diego,1674,2978,387.0128174,549900,$530K,1949,6/1/16,30,6/30/16,All Residential,"San Diego, CA",0.275552899,California,CA
San Diego,1470,3087,387.1516706,549000,$529K,1812,7/1/16,30,7/31/16,All Residential,"San Diego, CA",0.263265306,California,CA
San Diego,1567,2966,381.7699919,539000,$526K,1655,8/1/16,30,8/31/16,All Residential,"San Diego, CA",0.211869815,California,CA
San Diego,1477,2678,384.1178833,539450,$525K,1448,9/1/16,30,9/30/16,All Residential,"San Diego, CA",0.214624238,California,CA
San Diego,1390,2448,394.4444444,525000,$542K,1309,10/1/16,30,10/31/16,All Residential,"San Diego, CA",0.202158273,California,CA
San Diego,1346,2233,385.3524229,545000,$530K,1049,11/1/16,30,11/30/16,All Residential,"San Diego, CA",0.190936107,California,CA
San Diego,1193,1843,388.3472963,530000,$520K,772,12/1/16,30,12/31/16,All Residential,"San Diego, CA",0.186085499,California,CA
"Washington, DC",515,1320,453.1814184,489000,$470K,689,1/1/16,30,1/31/16,All Residential,"Washington, DC",0.249027237,Columbia,DC
"Washington, DC",513,1289,459.3943064,549900,$540K,794,2/1/16,30,2/29/16,All Residential,"Washington, DC",0.319688109,Columbia,DC
"Washington, DC",686,1498,461.9698407,550000,$485K,1227,3/1/16,30,3/31/16,All Residential,"Washington, DC",0.344525547,Columbia,DC
"Washington, DC",794,1535,482.4390244,599000,$523K,1172,4/1/16,30,4/30/16,All Residential,"Washington, DC",0.366498741,Columbia,DC
"Washington, DC",883,1547,478.75,549900,$570K,1054,5/1/16,30,5/31/16,All Residential,"Washington, DC",0.408833522,Columbia,DC
"Washington, DC",952,1525,467.5267459,557000,$550K,1018,6/1/16,30,6/30/16,All Residential,"Washington, DC",0.37289916,Columbia,DC
"Washington, DC",819,1480,456.3185115,549000,$558K,870,7/1/16,30,7/31/16,All Residential,"Washington, DC",0.372405372,Columbia,DC
"Washington, DC",823,1346,425.8130081,474825,$575K,700,8/1/16,30,8/31/16,All Residential,"Washington, DC",0.354014599,Columbia,DC
"Washington, DC",776,1605,476.1620977,572197.5,$529K,1137,9/1/16,30,9/30/16,All Residential,"Washington, DC",0.291612903,Columbia,DC
"Washington, DC",693,1569,458.0820281,552000,$543K,923,10/1/16,30,10/31/16,All Residential,"Washington, DC",0.334776335,Columbia,DC
"Washington, DC",732,1533,451.0848877,524000,$551K,738,11/1/16,30,11/30/16,All Residential,"Washington, DC",0.352459016,Columbia,DC
"Washington, DC",712,1312,416.2065972,498450,$544K,519,12/1/16,30,12/31/16,All Residential,"Washington, DC",0.304775281,Columbia,DC